"Theta [deg]","rETotal [mV] - Freq='8GHz' Phi='-90deg'","rETotal [mV] - Freq='8GHz' Phi='-80deg'","rETotal [mV] - Freq='8GHz' Phi='-70deg'","rETotal [mV] - Freq='8GHz' Phi='-60deg'","rETotal [mV] - Freq='8GHz' Phi='-50deg'","rETotal [mV] - Freq='8GHz' Phi='-40deg'","rETotal [mV] - Freq='8GHz' Phi='-30deg'","rETotal [mV] - Freq='8GHz' Phi='-20deg'","rETotal [mV] - Freq='8GHz' Phi='-10deg'","rETotal [mV] - Freq='8GHz' Phi='0deg'","rETotal [mV] - Freq='8GHz' Phi='10deg'","rETotal [mV] - Freq='8GHz' Phi='20deg'","rETotal [mV] - Freq='8GHz' Phi='30deg'","rETotal [mV] - Freq='8GHz' Phi='40deg'","rETotal [mV] - Freq='8GHz' Phi='50deg'","rETotal [mV] - Freq='8GHz' Phi='60deg'","rETotal [mV] - Freq='8GHz' Phi='70deg'","rETotal [mV] - Freq='8GHz' Phi='80deg'","rETotal [mV] - Freq='8GHz' Phi='90deg'"
120,79.7312235071944,88.1776130021619,93.8486835616354,96.9868413278209,98.1059884717003,97.5350368857735,95.252068149095,91.3413164287303,86.4238050668637,81.3522502252553,76.6858309376234,72.5327716324149,68.7356306748065,65.6802092839786,64.6475066205888,66.0671153247316,68.3328970188939,69.6657477963052,69.8837255796076
130,69.3815276377734,76.4355113917387,81.26307551986,83.9886937620416,84.9872137185572,84.5812224227739,82.9323371806471,80.2319387655536,76.8246806656095,73.0350723720323,69.0486953188062,65.00626256519,61.1065498313886,57.8106803896192,55.8155274968098,55.2077150662101,54.9784743836279,54.0755444868735,52.5677835072205
140,60.2415499775808,65.7004192974559,69.6282654632817,72.0186911775601,73.0756157900446,73.0828085598132,72.3043254633634,70.9515459609148,69.1415314112383,66.8641425405979,64.0753376472362,60.8544899446044,57.4574192588725,54.2596412154874,51.5740192063818,49.3273717732152,46.9848254803326,44.0381477253413,40.6164397216859
150,52.2530954861622,56.1903222207708,59.1842180175905,61.2446547883572,62.5037972910995,63.1657092413898,63.423416218026,63.3765610721469,62.9888598633228,62.1239738222257,60.6533854912141,58.5610459389211,55.96807209141,53.0659162125957,49.9935487424294,46.7258207397014,43.0765313597441,38.8657906579588,34.1613698257675
160,44.759147288689,47.5279573268917,49.8803455188385,51.816295659275,53.3886226853818,54.6649621967144,55.6866302369329,56.4383847150556,56.8447460621004,56.7969911087459,56.1970805003979,54.9944563048291,53.1970481263889,50.8538589335628,48.0223450409642,44.7429333919307,41.0422875748046,36.9749082018362,32.6965778236157
170,40.4927272843976,41.9867999069245,43.4322119912171,44.7828138676786,46.0032410221949,47.0627226838628,47.9294870601719,48.5679140854746,48.9394373630023,49.0067802021557,48.739918468592,48.1217272097012,47.151778676875,45.8479230238368,44.2464913358878,42.402592385551,40.3916361460267,38.3118488888069,36.2854132652264
180,39.4700194232339,39.4700801325363,39.4701260676729,39.4701408979833,39.4701302464581,39.4701124532668,39.4701024104364,39.4701025025675,39.4701060805133,39.4701075335377,39.4701081243321,39.4701118744502,39.4701172142589,39.470116356563,39.4701058534614,39.4700961656031,39.4701056716328,39.470141875018,39.4701897984114
190,36.2854132652264,34.4536055424168,32.9603481632181,31.9217971048731,31.3894091012519,31.325731197716,31.6118108502308,32.0865462750048,32.5986217080815,33.0490410131401,33.4122365554453,33.7332756132587,34.1042339002263,34.6275019061905,35.3787339226263,36.3834947313172,37.6152304623073,39.0108516420159,40.4927272843976
200,32.6965778236157,28.5551833951871,25.1689394338937,23.3618096594094,23.700770941336,25.8978002995391,28.9707824157222,31.8885146961456,33.9177508932962,34.7104211697926,34.3293054470727,33.2394813611842,32.2068244060417,32.0271634744407,33.1381757441304,35.4267562877512,38.4301644489112,41.6588584271996,44.759147288689
210,34.1613698257675,29.4656499898489,25.7935857130451,24.4620640687373,26.1764029014453,30.2106620944145,35.0262259911316,39.1308416723078,41.382166686928,41.1437314391165,38.4701872583637,34.2981965679655,30.5220773775362,29.4096520257283,31.8344785368373,36.5960141728834,42.1218328825978,47.4868538579003,52.2530954861623
